1,0
0.99,0.423202079389977
0.98,0.596992462263972
0.97,0.729314746868593
0.96,0.84
0.95,0.93674969975976
0.94,1.02352332655392
0.93,1.10267855696935
0.92,1.17575507653593
0.91,1.24382474649767
0.9,1.3076696830622
0.89,1.36788157382136
0.88,1.42492105044455
0.87,1.47915516427453
0.86,1.53088209866077
0.85,1.58034806292791
0.84,1.62775919595006
0.83,1.67329017208612
0.82,1.7170905625505
0.81,1.75928962936749
0.8,1.8
0.79,1.83932052671632
0.78,1.87733854165944
0.77,1.91413165691391
0.76,1.94976921711263
0.75,1.98431348329844
0.74,2.01782060649603
0.73,2.05034143498101
0.72,2.0819221887477
0.71,2.11260502697499
0.7,2.14242852856285
0.69,2.17142810150371
0.68,2.1996363335788
0.67,2.2270832943561
0.66,2.25379679651915
0.65,2.2798026230356
0.64,2.30512472547583
0.63,2.32978539784247
0.62,2.35380542951196
0.61,2.3772042402789
0.6,2.4
0.59,2.42220973493213
0.58,2.44384942252996
0.57,2.46493407619758
0.56,2.48547782126496
0.55,2.50549396327351
0.54,2.5249950495001
0.53,2.54399292451846
0.52,2.56249878048751
0.51,2.58052320276335
0.5,2.59807621135332
0.49,2.6151672986637
0.48,2.63180546393536
0.47,2.64799924471288
0.46,2.66375674565077
0.45,2.67908566492376
0.44,2.69399331847724
0.43,2.7084866623264
0.42,2.72257231308922
0.41,2.73625656691766
0.4,2.7495454169735
0.39,2.76244456957963
0.38,2.77495945916332
0.37,2.78709526209636
0.36,2.79885690952574
0.35,2.81024909927928
0.34,2.8212763069221
0.33,2.83194279603243
0.32,2.84225262775848
0.31,2.85220966971224
0.3,2.86181760425084
0.29,2.87107993619126
0.28,2.88
0.27,2.88858096649549
0.26,2.89682584909759
0.25,2.90473750965556
0.24,2.91231866388278
0.23,2.91957188642445
0.22,2.92649961558173
0.21,2.93310415771414
0.2,2.93938769133981
0.19,2.94535227095164
0.18,2.9509998305659
0.17,2.95633218701823
0.16,2.96135104302074
0.15,2.96605798999278
0.14,2.97045451067678
0.13,2.97454198154943
0.12,2.97832167503781
0.11,2.98179476154882
0.1,2.98496231131986
0.09,2.98782529609748
0.08,2.99038459065051
0.07,2.99264097412302
0.06,2.99459513123227
0.05,2.99624765331573
0.04,2.99759903923123
0.03,2.99864969611324
0.02,2.999399939988
0.01,2.99984999624981
0,3